"threshold","affiliation","abs_diff_condition","mean_abs_diff","ci_moe_condition","ci_moe"
5,"libs","abs_diff_rand",0.314016348239268,"ci_moe_rand",0.00342370382483741
5,"libs","abs_diff_empi",0.285292449093348,"ci_moe_empi",0.00320331914355278
10,"libs","abs_diff_rand",0.302691015630622,"ci_moe_rand",0.00403932322634616
10,"libs","abs_diff_empi",0.275645864559751,"ci_moe_empi",0.00374861589787952
15,"libs","abs_diff_rand",0.297233819588208,"ci_moe_rand",0.00452885613138917
15,"libs","abs_diff_empi",0.272461415246189,"ci_moe_empi",0.00420023196861254
20,"libs","abs_diff_rand",0.293219807330513,"ci_moe_rand",0.00492101719543086
20,"libs","abs_diff_empi",0.269727007381242,"ci_moe_empi",0.00457723179242686
25,"libs","abs_diff_rand",0.287942799217455,"ci_moe_rand",0.00526968898185861
25,"libs","abs_diff_empi",0.266785696711899,"ci_moe_empi",0.00493344852005206
30,"libs","abs_diff_rand",0.284494453251359,"ci_moe_rand",0.00560612622573322
30,"libs","abs_diff_empi",0.264189346871405,"ci_moe_empi",0.00525699980928791
35,"libs","abs_diff_rand",0.281778953487995,"ci_moe_rand",0.00593277880839382
35,"libs","abs_diff_empi",0.262045138012937,"ci_moe_empi",0.00557504812355253
40,"libs","abs_diff_rand",0.28031762621556,"ci_moe_rand",0.00625604863272721
40,"libs","abs_diff_empi",0.262068209090447,"ci_moe_empi",0.00589092590838633
5,"cons","abs_diff_rand",0.540771447963599,"ci_moe_rand",0.00466169051098857
5,"cons","abs_diff_empi",0.518485692929193,"ci_moe_empi",0.00474283750070673
10,"cons","abs_diff_rand",0.522696297958134,"ci_moe_rand",0.00536042809392991
10,"cons","abs_diff_empi",0.49583595104056,"ci_moe_empi",0.00550405742460513
15,"cons","abs_diff_rand",0.510138048573595,"ci_moe_rand",0.00585134124038774
15,"cons","abs_diff_empi",0.482483800932297,"ci_moe_empi",0.00597137541806388
20,"cons","abs_diff_rand",0.498387841075294,"ci_moe_rand",0.00623997320975437
20,"cons","abs_diff_empi",0.470952059849615,"ci_moe_empi",0.00630730015664999
25,"cons","abs_diff_rand",0.490007550741024,"ci_moe_rand",0.0065833090795553
25,"cons","abs_diff_empi",0.462760300698599,"ci_moe_empi",0.00658056696784711
30,"cons","abs_diff_rand",0.482532688597097,"ci_moe_rand",0.00689573175630477
30,"cons","abs_diff_empi",0.457149523322126,"ci_moe_empi",0.00684899838219025
35,"cons","abs_diff_rand",0.474330619888697,"ci_moe_rand",0.00714399301354124
35,"cons","abs_diff_empi",0.450475931167515,"ci_moe_empi",0.00706992075339984
40,"cons","abs_diff_rand",0.468719788010151,"ci_moe_rand",0.00737561249050069
40,"cons","abs_diff_empi",0.447507809313755,"ci_moe_empi",0.00728725535966347
